component_id,seed,n_samples,eval_n,mode,old_d_pre,old_d_post,new_ce_pre,new_ce_post,old_delta,new_delta_ce,direction_match_ce
subtractive_curation,42,2000,512,full_response_opd,0.18106144666671753,0.0416061207652092,1.828014850616455,1.6885594129562378,-0.13945532590150833,-0.13945543766021729,True
subtractive_curation,42,2000,512,offpolicy_harness_trace,0.18106144666671753,0.13718529045581818,1.828014850616455,1.784138798713684,-0.04387615621089935,-0.043876051902770996,True
subtractive_curation,42,2000,512,oneshot_full_to_slim,0.18106144666671753,0.006868068128824234,1.828014850616455,1.6538214683532715,-0.1741933785378933,-0.1741933822631836,True
subtractive_curation,42,2000,512,same_state_action_ce,0.18106144666671753,0.6818982362747192,1.828014850616455,2.3288519382476807,0.5008367896080017,0.5008370876312256,True
importance_tagging,42,2000,512,tool_token_kl,0.1772289276123047,0.007425542920827866,1.8272333145141602,1.6574301719665527,-0.16980338469147682,-0.16980314254760742,True
importance_tagging,42,512,512,tool_token_kl,0.1772289276123047,0.015007014386355877,1.8272333145141602,1.6650115251541138,-0.1622219132259488,-0.1622217893600464,True
importance_tagging,42,8000,512,tool_token_kl,0.1772289276123047,0.006890994030982256,1.8272333145141602,1.656895399093628,-0.17033793358132243,-0.17033791542053223,True
importance_tagging,43,2000,512,tool_token_kl,0.18469497561454773,0.007763182278722525,1.8243036270141602,1.6473716497421265,-0.1769317933358252,-0.1769319772720337,True
importance_tagging,43,512,512,tool_token_kl,0.18469497561454773,0.01315856073051691,1.8243036270141602,1.6527671813964844,-0.17153641488403082,-0.17153644561767578,True
importance_tagging,43,8000,512,tool_token_kl,0.18469497561454773,0.006659679114818573,1.8243036270141602,1.646268367767334,-0.17803529649972916,-0.17803525924682617,True
subtractive_curation,42,2000,512,tool_token_kl,0.18106144666671753,0.006868068128824234,1.828014850616455,1.6538214683532715,-0.1741933785378933,-0.1741933822631836,True
subtractive_curation,42,512,512,tool_token_kl,0.18106144666671753,0.013486204668879509,1.828014850616455,1.6604394912719727,-0.16757524199783802,-0.16757535934448242,True
subtractive_curation,42,8000,512,tool_token_kl,0.18106144666671753,0.006502651609480381,1.828014850616455,1.653456211090088,-0.17455879505723715,-0.1745586395263672,True
subtractive_curation,43,2000,512,tool_token_kl,0.19173480570316315,0.007917236536741257,1.829405426979065,1.6455879211425781,-0.1838175691664219,-0.18381750583648682,True
subtractive_curation,43,512,512,tool_token_kl,0.19173480570316315,0.012669587507843971,1.829405426979065,1.6503403186798096,-0.17906521819531918,-0.17906510829925537,True
subtractive_curation,43,8000,512,tool_token_kl,0.19173480570316315,0.006414187140762806,1.829405426979065,1.6440849304199219,-0.18532061856240034,-0.18532049655914307,True
