summary_path,checkpoint_path,component_id,seed,n_samples,eval_n,mode,old_d_pre,old_d_post,old_L_m,new_kl_pre,new_kl_post,new_ce_pre,new_ce_post,new_L_m_kl,new_L_m_ce,top1_acc_pre,top1_acc_post,invalid_rate_pre,invalid_rate_post,direction_match_kl,direction_match_ce,kl_abs_gap,ce_abs_gap,artifact_status
outputs/stage_l/baselines/full_response_opd/summary.json,outputs/stage_l/baselines/full_response_opd/checkpoint.pt,subtractive_curation,42,2000,512,full_response_opd,0.18106144666671753,0.0416061207652092,0.7702099522937441,0.18106144666671753,0.0416061170399189,1.828014850616455,1.6885594129562378,0.7702099728684726,0.07628791792928269,0.125,0.875,0.0,0.0,True,True,3.725290298461914e-09,1.1175870895385742e-07,OK
outputs/stage_l/baselines/offpolicy_harness_trace/summary.json,outputs/stage_l/baselines/offpolicy_harness_trace/checkpoint.pt,subtractive_curation,42,2000,512,offpolicy_harness_trace,0.18106144666671753,0.13718529045581818,0.24232747829739854,0.18106144666671753,0.13718530535697937,1.828014850616455,1.784138798713684,0.24232739599848485,0.02400202692442821,0.125,0.87109375,0.0,0.0,True,True,1.4901161193847656e-08,1.043081283569336e-07,OK
outputs/stage_l/baselines/oneshot_full_to_slim/summary.json,outputs/stage_l/baselines/oneshot_full_to_slim/checkpoint.pt,subtractive_curation,42,2000,512,oneshot_full_to_slim,0.18106144666671753,0.006868068128824234,0.9620677517166649,0.18106144666671753,0.006868067197501659,1.828014850616455,1.6538214683532715,0.9620677568603471,0.0952910154157286,0.125,0.89453125,0.0,0.0,True,True,9.313225746154785e-10,3.725290298461914e-09,OK
outputs/stage_l/baselines/same_state_action_ce/summary.json,outputs/stage_l/baselines/same_state_action_ce/checkpoint.pt,subtractive_curation,42,2000,512,same_state_action_ce,0.18106144666671753,0.6818982362747192,-2.7661148254755252,0.18106144666671753,0.6818981766700745,1.828014850616455,2.3288519382476807,-2.7661144962798705,-0.273978668566365,0.125,0.869140625,0.0,0.0,True,True,5.960464477539063e-08,2.980232238769531e-07,OK
outputs/stage_l/importance_tagging/seed42/n2000/torch_train/summary.json,outputs/stage_l/importance_tagging/seed42/n2000/torch_train/checkpoint.pt,importance_tagging,42,2000,512,tool_token_kl,0.1772289276123047,0.007425542920827866,0.9581019723930664,0.1772289276123047,0.00742554385215044,1.8272333145141602,1.6574301719665527,0.9581019671381538,0.09292910230430262,0.103515625,0.916015625,0.0,0.0,True,True,9.313225746154785e-10,2.421438694000244e-07,OK
outputs/stage_l/importance_tagging/seed42/n512/torch_train/summary.json,outputs/stage_l/importance_tagging/seed42/n512/torch_train/checkpoint.pt,importance_tagging,42,512,512,tool_token_kl,0.1772289276123047,0.015007014386355877,0.9153241305368296,0.1772289276123047,0.015007010661065578,1.8272333145141602,1.6650115251541138,0.91532415155648,0.08878001357772913,0.103515625,0.880859375,0.0,0.0,True,True,3.725290298461914e-09,1.2386590242385864e-07,OK
outputs/stage_l/importance_tagging/seed42/n8000/torch_train/summary.json,outputs/stage_l/importance_tagging/seed42/n8000/torch_train/checkpoint.pt,importance_tagging,42,8000,512,tool_token_kl,0.1772289276123047,0.006890994030982256,0.961118121431972,0.1772289276123047,0.006890989374369383,1.8272333145141602,1.656895399093628,0.9611181477065348,0.09322177038656132,0.103515625,0.92578125,0.0,0.0,True,True,4.6566128730773926e-09,1.816079020500183e-08,OK
outputs/stage_l/importance_tagging/seed43/n2000/torch_train/summary.json,outputs/stage_l/importance_tagging/seed43/n2000/torch_train/checkpoint.pt,importance_tagging,43,2000,512,tool_token_kl,0.18469497561454773,0.007763182278722525,0.9579675525413341,0.18469497561454773,0.007763179484754801,1.8243036270141602,1.6473716497421265,0.9579675676688034,0.09698604096498897,0.123046875,0.92578125,0.0,0.0,True,True,2.7939677238464355e-09,1.83936208486557e-07,OK
outputs/stage_l/importance_tagging/seed43/n512/torch_train/summary.json,outputs/stage_l/importance_tagging/seed43/n512/torch_train/checkpoint.pt,importance_tagging,43,512,512,tool_token_kl,0.18469497561454773,0.01315856073051691,0.9287551814862024,0.18469497561454773,0.013158552348613739,1.8243036270141602,1.6527671813964844,0.9287552268686103,0.09402845674222826,0.123046875,0.892578125,0.0,0.0,True,True,8.381903171539307e-09,3.073364496231079e-08,OK
outputs/stage_l/importance_tagging/seed43/n8000/torch_train/summary.json,outputs/stage_l/importance_tagging/seed43/n8000/torch_train/checkpoint.pt,importance_tagging,43,8000,512,tool_token_kl,0.18469497561454773,0.006659679114818573,0.9639422852079098,0.18469497561454773,0.006659675855189562,1.8243036270141602,1.646268367767334,0.963942302856624,0.09759080979426027,0.123046875,0.931640625,0.0,0.0,True,True,3.259629011154175e-09,3.725290298461914e-08,OK
outputs/stage_l/subtractive_curation/seed42/n2000/torch_train/summary.json,outputs/stage_l/subtractive_curation/seed42/n2000/torch_train/checkpoint.pt,subtractive_curation,42,2000,512,tool_token_kl,0.18106144666671753,0.006868068128824234,0.9620677517166649,0.18106144666671753,0.006868067197501659,1.828014850616455,1.6538214683532715,0.9620677568603471,0.0952910154157286,0.125,0.89453125,0.0,0.0,True,True,9.313225746154785e-10,3.725290298461914e-09,OK
outputs/stage_l/subtractive_curation/seed42/n512/torch_train/summary.json,outputs/stage_l/subtractive_curation/seed42/n512/torch_train/checkpoint.pt,subtractive_curation,42,512,512,tool_token_kl,0.18106144666671753,0.013486204668879509,0.9255158722504715,0.18106144666671753,0.01348620280623436,1.828014850616455,1.6604394912719727,0.9255158825378357,0.09167068220001862,0.125,0.87109375,0.0,0.0,True,True,1.862645149230957e-09,1.1734664440155029e-07,OK
outputs/stage_l/subtractive_curation/seed42/n8000/torch_train/summary.json,outputs/stage_l/subtractive_curation/seed42/n8000/torch_train/checkpoint.pt,subtractive_curation,42,8000,512,tool_token_kl,0.18106144666671753,0.006502651609480381,0.9640859422585454,0.18106144666671753,0.006502648815512657,1.828014850616455,1.653456211090088,0.9640859576895917,0.09549082629858996,0.125,0.904296875,0.0,0.0,True,True,2.7939677238464355e-09,1.555308699607849e-07,OK
outputs/stage_l/subtractive_curation/seed43/n2000/torch_train/summary.json,outputs/stage_l/subtractive_curation/seed43/n2000/torch_train/checkpoint.pt,subtractive_curation,43,2000,512,tool_token_kl,0.19173480570316315,0.007917236536741257,0.9587073609573421,0.19173480570316315,0.007917236536741257,1.829405426979065,1.6455879211425781,0.9587073609573421,0.10047937549591435,0.1484375,0.87890625,0.0,0.0,True,True,0.0,6.332993507385254e-08,OK
outputs/stage_l/subtractive_curation/seed43/n512/torch_train/summary.json,outputs/stage_l/subtractive_curation/seed43/n512/torch_train/checkpoint.pt,subtractive_curation,43,512,512,tool_token_kl,0.19173480570316315,0.012669587507843971,0.9339212992623178,0.19173480570316315,0.012669581919908524,1.829405426979065,1.6503403186798096,0.9339213284064011,0.09788159293707432,0.1484375,0.857421875,0.0,0.0,True,True,5.587935447692871e-09,1.0989606380462646e-07,OK
